txn_id,date,amount,account_id,counterparty
TXN0040,2024-01-29,3400.75,ACC104,Market Research Corp
TXN0041,2024-01-30,1650000.00,ACC102,EXTREME RISK - Shell Company
TXN0042,2024-01-30,4950.00,ACC101,Final January Payment
TXN0043,2024-01-31,2300.25,ACC105,Month End Processing
TXN0044,2024-02-01,6700.50,ACC103,February Kickoff Corp
TXN0045,2024-02-01,1800.75,ACC104,New Month Services
TXN0046,2024-02-02,9200.00,ACC101,February Advance Payment
TXN0047,2024-02-02,750000.00,ACC102,FLAGGED - Crypto Exchange
TXN0048,2024-02-05,3850.25,ACC105,Weekly Services Inc
TXN0049,2024-02-05,1450.50,ACC103,Maintenance Contract
TXN0050,2024-02-06,7600.75,ACC104,Campaign Management
TXN0051,2024-02-06,2100000.00,ACC101,MAXIMUM ALERT - Terror Finance Risk
TXN0052,2024-02-07,5200.00,ACC102,Regular Business Corp
TXN0053,2024-02-07,1890.25,ACC105,Standard Processing
TXN0054,2024-02-08,8900.50,ACC103,Development Milestone
TXN0055,2024-02-08,3200.75,ACC104,Client Acquisition
TXN0056,2024-02-09,6400.00,ACC101,Software Integration
TXN0057,2024-02-09,1800000.00,ACC102,URGENT - Sanctions Violation Risk
TXN0058,2024-02-12,4950.25,ACC105,Valentine Week Special
TXN0059,2024-02-12,2300.50,ACC103,Mid Month Processing
TXN0060,2024-02-13,7800.75,ACC104,Partnership Development
TXN0061,2024-02-13,1950.00,ACC101,Standard Transaction
TXN0062,2024-02-14,5600.25,ACC102,Valentine Campaign
TXN0063,2024-02-14,1250000.00,ACC105,SUSPICIOUS - Holiday Transfer
TXN0064,2024-02-15,3850.50,ACC103,Mid February Payment
TXN0065,2024-02-15,8200.75,ACC104,Market Expansion
TXN0066,2024-02-16,2700.00,ACC101,Regular Operations
TXN0067,2024-02-16,950000.00,ACC102,RED FLAG - Unusual Pattern
TXN0068,2024-02-19,6100.25,ACC105,President's Day Processing
TXN0069,2024-02-19,1650.50,ACC103,Holiday Operations
TXN0070,2024-02-20,9500.75,ACC104,Strategic Initiative
TXN0071,2024-02-20,3200.00,ACC101,Technology Upgrade
TXN0072,2024-02-21,1750000.00,ACC102,CRITICAL RISK - Cartel Money
TXN0073,2024-02-21,5800.25,ACC105,Standard Processing
TXN0074,2024-02-22,2450.50,ACC103,Regular Maintenance
TXN0075,2024-02-22,7200.75,ACC104,Client Services
TXN0076,2024-02-23,4100.00,ACC101,Weekly Processing
TXN0077,2024-02-23,1100000.00,ACC102,ALERT - Cash Structuring
TXN0078,2024-02-26,3650.25,ACC105,Month End Prep
TXN0079,2024-02-26,1890.50,ACC103,Standard Operations
TXN0080,2024-02-27,8700.75,ACC104,Final Week Processing
TXN0081,2024-02-27,2950.00,ACC101,Regular Transaction
TXN0082,2024-02-28,6200.25,ACC102,February Final
TXN0083,2024-02-28,1400000.00,ACC105,EXTREME - Narcotics Money Risk
TXN0084,2024-02-29,4850.50,ACC103,Leap Day Special
TXN0085,2024-02-29,7600.75,ACC104,February Close
TXN0086,2024-03-01,3200.00,ACC101,March Opening
TXN0087,2024-03-01,1650000.00,ACC102,MAXIMUM RISK - Terror Financing
TXN0088,2024-03-04,5900.25,ACC105,First Week March
TXN0089,2024-03-04,2300.50,ACC103,New Month Setup
TXN0090,2024-03-05,8100.75,ACC104,March Campaign Launch
TXN0091,2024-03-05,1950.00,ACC101,Standard Processing
TXN0092,2024-03-06,6700.25,ACC102,Weekly Operations
TXN0093,2024-03-06,1200000.00,ACC105,HIGH ALERT - Weapon Financing
TXN0094,2024-03-07,4200.50,ACC103,Mid Week Processing
TXN0095,2024-03-07,7800.75,ACC104,Client Development
TXN0096,2024-03-08,3450.00,ACC101,Women's Day Campaign
TXN0097,2024-03-08,950000.00,ACC102,FLAGGED - Unusual March Transfer
TXN0098,2024-03-11,5600.25,ACC105,Second Week March
TXN0099,2024-03-11,2100.50,ACC103,Regular Maintenance
TXN0100,2024-03-12,8900.75,ACC104,Strategic Planning
TXN0101,2024-03-12,1750.00,ACC101,Standard Transaction
TXN0102,2024-03-13,6200.25,ACC102,Mid March Processing
TXN0103,2024-03-13,1550000.00,ACC105,CRITICAL - Human Trafficking Money
TXN0104,2024-03-14,4850.50,ACC103,Regular Operations
TXN0105,2024-03-14,7200.75,ACC104,Client Acquisition
TXN0106,2024-03-15,3100.00,ACC101,Ides of March
TXN0107,2024-03-15,2450.25,ACC102,Mid Month Standard
TXN0108,2024-03-15,890000.00,ACC105,RED FLAG - Sanctions Evasion
TXN0109,2024-03-18,5800.50,ACC103,Third Week Processing
TXN0110,2024-03-18,1900.75,ACC104,Regular Services
TXN0111,2024-03-19,8200.00,ACC101,Strategic Initiative
TXN0112,2024-03-19,3650.25,ACC102,Standard Operations
TXN0113,2024-03-19,1850000.00,ACC105,EXTREME RISK - ISIS Financing
TXN0114,2024-03-20,4200.50,ACC103,Spring Processing
TXN0115,2024-03-20,7600.75,ACC104,Market Development
TXN0116,2024-03-21,2950.00,ACC101,Regular Transaction
TXN0117,2024-03-21,6100.25,ACC102,Weekly Standard
TXN0118,2024-03-21,1350000.00,ACC105,ALERT - Cybercrime Proceeds
TXN0119,2024-03-22,5200.50,ACC103,End Week Processing
TXN0120,2024-03-22,1650.75,ACC104,Standard Services
TXN0121,2024-03-25,8700.00,ACC101,Fourth Week Processing
TXN0122,2024-03-25,3450.25,ACC102,Regular Operations
TXN0123,2024-03-25,750000.00,ACC105,WARNING - Shell Company Transfer
TXN0124,2024-03-26,4850.50,ACC103,Standard Processing
TXN0125,2024-03-26,2100.75,ACC104,Client Services
TXN0126,2024-03-27,7200.00,ACC101,Month End Prep
TXN0127,2024-03-27,5600.25,ACC102,Standard Transaction
TXN0128,2024-03-27,1650000.00,ACC105,MAXIMUM - Organized Crime Money
TXN0129,2024-03-28,3850.50,ACC103,Pre-Close Processing
TXN0130,2024-03-28,1950.75,ACC104,Regular Services
TXN0131,2024-03-29,6200.00,ACC101,March Final Week
TXN0132,2024-03-29,4100.25,ACC102,Month End Standard
TXN0133,2024-03-29,950000.00,ACC105,FLAGGED - Dark Web Proceeds
TXN0134,2024-03-30,2450.50,ACC103,Month End Processing
TXN0135,2024-03-30,7800.75,ACC104,Final March Services
TXN0136,2024-03-31,3200.00,ACC101,March Close
TXN0137,2024-03-31,5900.25,ACC102,Quarter End Standard
TXN0138,2024-03-31,1450000.00,ACC105,CRITICAL - Q1 Suspicious Close
TXN0139,2024-04-01,4650.50,ACC103,April Fool's Day
TXN0140,2024-04-01,1750.75,ACC104,New Quarter Start
TXN0141,2024-04-02,8100.00,ACC101,Q2 Opening
TXN0142,2024-04-02,3450.25,ACC102,April Start
TXN0143,2024-04-02,1750000.00,ACC105,EXTREME - Terrorist Cell Funding
TXN0144,2024-04-03,5800.50,ACC103,First Week April
TXN0145,2024-04-03,2200.75,ACC104,Standard Processing
TXN0146,2024-04-04,7600.00,ACC101,Regular Operations
TXN0147,2024-04-04,4100.25,ACC102,Weekly Standard
TXN0148,2024-04-04,890000.00,ACC105,RED ALERT - Cartel Proceeds
TXN0149,2024-04-05,3650.50,ACC103,Friday Processing
TXN0150,2024-04-05,1890.75,ACC104,End Week Services
TXN0151,2024-04-08,6200.00,ACC101,Second Week April
TXN0152,2024-04-08,2950.25,ACC102,Regular Transaction
TXN0153,2024-04-08,1550000.00,ACC105,MAXIMUM RISK - Arms Dealing Money
TXN0154,2024-04-09,5200.50,ACC103,Mid Week Processing
TXN0155,2024-04-09,7800.75,ACC104,Strategic Development
TXN0156,2024-04-10,3100.00,ACC101,Standard Operations
TXN0157,2024-04-10,4650.25,ACC102,Weekly Processing
TXN0158,2024-04-10,1250000.00,ACC105,ALERT - Human Organ Trade
TXN0159,2024-04-11,1950.50,ACC103,Regular Services
TXN0160,2024-04-11,6700.75,ACC104,Client Development
TXN0161,2024-04-12,8200.00,ACC101,Friday Processing
TXN0162,2024-04-12,3450.25,ACC102,End Week Standard
TXN0163,2024-04-12,950000.00,ACC105,WARNING - Cybercrime Laundering
TXN0164,2024-04-15,4850.50,ACC103,Third Week Start
TXN0165,2024-04-15,2100.75,ACC104,Monday Processing
TXN0166,2024-04-16,7600.00,ACC101,Mid April Operations
TXN0167,2024-04-16,5200.25,ACC102,Standard Transaction
TXN0168,2024-04-16,1650000.00,ACC105,CRITICAL - Drug Cartel Funds
TXN0169,2024-04-17,3850.50,ACC103,Regular Processing
TXN0170,2024-04-17,1650.75,ACC104,Standard Services
TXN0171,2024-04-18,6100.00,ACC101,Weekly Operations
TXN0172,2024-04-18,4200.25,ACC102,Regular Transaction
TXN0173,2024-04-18,750000.00,ACC105,FLAGGED - Extortion Money
TXN0174,2024-04-19,2950.50,ACC103,Friday Processing
TXN0175,2024-04-19,7800.75,ACC104,End Week Services
TXN0176,2024-04-22,5600.00,ACC101,Fourth Week Start
TXN0177,2024-04-22,3200.25,ACC102,Monday Standard
TXN0178,2024-04-22,1850000.00,ACC105,EXTREME - State Sponsor Terror
TXN0179,2024-04-23,4100.50,ACC103,Mid Week Processing
TXN0180,2024-04-23,1890.75,ACC104,Regular Services
TXN0181,2024-04-24,8700.00,ACC101,Strategic Processing
TXN0182,2024-04-24,2450.25,ACC102,Standard Operations
TXN0183,2024-04-24,890000.00,ACC105,RED FLAG - Mafia Money
TXN0184,2024-04-25,5800.50,ACC103,Thursday Processing
TXN0185,2024-04-25,3650.75,ACC104,Client Services
TXN0186,2024-04-26,7200.00,ACC101,End Week Operations
TXN0187,2024-04-26,4850.25,ACC102,Friday Standard
TXN0188,2024-04-26,1450000.00,ACC105,ALERT - Corruption Proceeds
TXN0189,2024-04-29,3100.50,ACC103,Month End Prep
TXN0190,2024-04-29,6700.75,ACC104,Final Week Services
TXN0191,2024-04-30,8200.00,ACC101,April Close
TXN0192,2024-04-30,2950.25,ACC102,Month End Standard
TXN0193,2024-04-30,1750000.00,ACC105,MAXIMUM - April Suspicious Close
TXN0194,2024-05-01,4650.50,ACC103,May Day Processing
TXN0195,2024-05-01,1750.75,ACC104,New Month Start
TXN0196,2024-05-02,7600.00,ACC101,May Opening
TXN0197,2024-05-02,5200.25,ACC102,Standard Transaction
TXN0198,2024-05-02,950000.00,ACC105,WARNING - May Day Terror Money
TXN0199,2024-05-03,3850.50,ACC103,Friday Processing
TXN0200,2024-05-03,2100.75,ACC104,End Week Services
